amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-amazon-invoiced	vat-exclusive-item-price	vat-exclusive-shipping-price	vat-exclusive-giftwrap-price	is-iba 
407-7164139-5707542		2025-10-25T08:42:15+00:00	2025-10-31T14:42:25+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Micky-White)	MPWedge227-W	B0C8PPPDNS	Shipped	1	INR	498.0	23.71							GHAZIABAD	UTTAR PRADESH	201010	IN		false			Easy Ship	false	474.29	0.00		false
408-2340667-4689121		2025-10-25T17:00:44+00:00	2025-10-31T14:40:55+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	GET IT Cotton 5-in-1 Feeding Pillow with Detachable Cover | New Born Portable Breast Feeding Pillow for Baby | Infant Support for Baby and Mom | Blue Star	74-FB2A-AD9Q	B071XC7S5K	Shipped	1	INR	548.0	26.1							delhi	DELHI	110006	IN		false			Easy Ship	false	521.90	0.00		false
408-0703390-8276362		2025-10-28T05:05:14+00:00	2025-10-31T13:16:18+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		SecondDay	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	CRODA227-B	B0C8PTH3QF	Shipped	1	INR	698.0	33.24	80.0	3.81					BENGALURU	KARNATAKA	560102	IN		false			Easy Ship	false	664.76	76.19		false
407-2728089-9665100		2025-10-27T17:44:53+00:00	2025-10-31T13:15:44+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	GET IT Cotton Mutlipurpose 5 in 1 Baby Feeding Nursing Pillow with Adjustable Strap| for Breastfeeding, Baby Support & Playtime | Washable Premium Cotton Cover with Zip -(Aash Star)	Aash_Star	B0BXTC6NZ6	Shipped	1	INR	599.0	28.52							Cuddalore	TAMIL NADU	607104	IN		false			Easy Ship	false	570.48	0.00		false
402-6557799-1918715		2025-10-24T22:17:04+00:00	2025-10-31T12:08:36+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	GET IT Cotton Mutlipurpose 5 in 1 Baby Feeding Nursing Pillow with Adjustable Strap| for Breastfeeding, Baby Support & Playtime | Washable Premium Cotton Cover with Zip -(Aash Star)	Aash_Star	B0BXTC6NZ6	Shipped	1	INR	599.0	28.52							CHENNAI	TAMIL NADU	600053	IN		false			Easy Ship	false	570.48	0.00		false
404-0219719-4306770		2025-10-26T12:38:26+00:00	2025-10-31T11:58:50+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		SecondDay	GET IT New Born Baby Cradle Metal Hanger for Baby,Kids Window Cradle Metal Window Hanger - Babies - Blue	CRODA227-B	B0C8PTH3QF	Shipped	1	INR	698.0	33.24	80.0	3.8					CHENNAI	TAMIL NADU	600052	IN		false			Easy Ship	false	664.76	76.20		false
406-5746557-6628315		2025-10-27T00:10:00+00:00	2025-10-31T11:28:58+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Maroon)	PMW227	B09WLF9LY8	Shipped	1	INR	499.0	23.76							PALAMANER	ANDHRA PRADESH	517408	IN		false			Easy Ship	false	475.24	0.00		false
171-4150225-6274708		2025-10-27T18:12:56+00:00	2025-10-31T10:28:30+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	GET IT Hanging Spring for Baby Cradle, Infant Jhula Swing Stainless Steel Spring Set Triangle, Spring for Hanging Cradle, thottil Hook, jhoola, jula, Swing Weight Support 15kg	CRODS227	B0C8PQYQPX	Shipped	1	INR	298.0	14.2							TIRUKALUKUNDRAM	TAMIL NADU	603109	IN		false			Easy Ship	false	283.80	0.00		false
405-0683642-6355520		2025-10-25T04:16:26+00:00	2025-10-31T10:16:43+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	GET IT Multi Use Wedge Pillow for Pregnancy Women and New Born Baby | Lower Back-Pain Relief |Knee Support Between Legs | Anti Vomiting and Milk Spitting for New Born Baby (Micky-White)	MPWedge227-W	B0C8PPPDNS	Shipped	1	INR	498.0	23.71							BELAGAVI	KARNATAKA	590003	IN		false			Easy Ship	false	474.29	0.00		false
405-8451740-9291503		2025-10-26T04:16:39+00:00	2025-10-31T10:05:40+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in	WebsiteOrderChannel		Standard	GET IT Premium Baby Breast Feeding Pillow with Detachable Cover | Newborn Nursing Pillow with Zip Buckle Adjustment | Infant Support for Baby and Mom Breastfeeding-Navy Blue Print	FFPNBP	B0D58K92GN	Shipped	1	INR	998.0	47.52							CHENNAI	TAMIL NADU	600033	IN		false			Easy Ship	false	950.48	0.00		false
